    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     156       2809.28     0.0045   8.493E+00   0.5904   0.3000   1.777E-17   4.18817691E+01   6.06564000E+01
     157       2817.77     0.0044   7.956E+00   0.5525   0.3000   2.131E-17   4.18892802E+01   6.06443791E+01
     158       2825.73     0.0044   7.652E+00   0.5387   0.3000   1.479E-17   4.18963083E+01   6.06330178E+01
     159       2833.38     0.0046   7.535E+00   0.5294   0.3000   2.149E-17   4.19030595E+01   6.06219225E+01
     160       2840.91     0.0045   7.590E+00   0.5258   0.3000   1.707E-17   4.19097001E+01   6.06108192E+01
     161        2848.5     0.0045   7.824E+00   0.5468   0.3000   1.395E-17   4.19163813E+01   6.05994820E+01
     162       2856.33     0.0044   8.036E+00   0.5726   0.3000   1.666E-17   4.19232599E+01   6.05876424E+01
     163       2864.36     0.0045   7.579E+00   0.5372   0.3000   1.399E-17   4.19303159E+01   6.05753574E+01
     164       2871.94     0.0044   7.327E+00   0.5274   0.3000   1.593E-17   4.19369628E+01   6.05636528E+01
     165       2879.27     0.0046   7.214E+00   0.5376   0.3000   1.594E-17   4.19433808E+01   6.05521510E+01
     166       2886.48     0.0045   7.218E+00   0.5434   0.3000   2.088E-17   4.19496928E+01   6.05406686E+01
     167        2893.7     0.0046   7.328E+00   0.5472   0.3000   1.974E-17   4.19560015E+01   6.05290893E+01
     168       2901.03     0.0046   7.543E+00   0.5675   0.3000   1.468E-17   4.19623984E+01   6.05172662E+01
     169       2908.57     0.0047   7.537E+00   0.5808   0.3000   2.083E-17   4.19689758E+01   6.05050163E+01
     170       2916.11     0.0047   7.588E+00   0.5828   0.3000   1.754E-17   4.19755406E+01   6.04926877E+01
     171        2923.7     0.0044   7.967E+00   0.6000   0.3000   1.641E-17   4.19821423E+01   6.04801856E+01
     172       2931.66     0.0048   7.067E+00   0.5420   0.3000   1.577E-17   4.19890658E+01   6.04670184E+01
     173       2938.73     0.0045   6.640E+00   0.5101   0.3000   1.370E-17   4.19952002E+01   6.04552932E+01
     174       2945.37     0.0048   6.480E+00   0.4881   0.3000   1.376E-17   4.20009578E+01   6.04442254E+01
     175       2951.85     0.0044   6.500E+00   0.4789   0.3000   1.605E-17   4.20065705E+01   6.04334123E+01
     176       2958.35     0.0044   6.685E+00   0.4993   0.3000   2.070E-17   4.20121953E+01   6.04225692E+01
     177       2965.04     0.0045   7.062E+00   0.5243   0.3000   1.484E-17   4.20179751E+01   6.04114903E+01
     178        2972.1     0.0046   7.699E+00   0.5612   0.3000   1.921E-17   4.20240747E+01   6.03998634E+01
     179        2979.8     0.0044   7.661E+00   0.5666   0.3000   1.286E-17   4.20307170E+01   6.03871942E+01
     180       2987.46     0.0046   7.186E+00   0.5288   0.3000   1.541E-17   4.20373186E+01   6.03745596E+01
     181       2994.65     0.0044   5.354E+00   0.3874   0.2285   1.690E-17   4.20435041E+01   6.03627075E+01
     182          3000     0.0046   7.051E+00   0.5030   0.3000   1.376E-17   4.20481084E+01   6.03539217E+01
     183       3007.05     2.6035   7.225E+00   0.5249   0.3000   1.706E-17   4.20541666E+01   6.03423819E+01
     184       3014.28     0.0045   7.550E+00   0.5442   0.3000   1.839E-17   4.20603686E+01   6.03305159E+01
     185       3021.83     0.0045   8.048E+00   0.5759   0.3000   1.771E-17   4.20668429E+01   6.03181243E+01
     186       3029.88     0.0045   8.754E+00   0.6224   0.3000   1.580E-17   4.20737367E+01   6.03050059E+01
     187       3038.63     0.0045   8.869E+00   0.6473   0.3000   1.485E-17   4.20812263E+01   6.02907865E+01
     188        3047.5     0.0045   8.887E+00   0.6793   0.3000   2.049E-17   4.20888046E+01   6.02764488E+01
     189       3056.39     0.0045   8.695E+00   0.6715   0.3000   1.905E-17   4.20963899E+01   6.02621023E+01
     190       3065.08     0.0044   8.512E+00   0.6599   0.3000   1.542E-17   4.21038022E+01   6.02480656E+01
     191       3073.59     0.0045   8.837E+00   0.7219   0.3000   1.623E-17   4.21110507E+01   6.02343856E+01
     192       3082.43     0.0044   8.109E+00   0.6716   0.3000   2.647E-17   4.21185671E+01   6.02203366E+01
     193       3090.54     0.0045   7.800E+00   0.6323   0.3000   1.939E-17   4.21254568E+01   6.02075119E+01
     194       3098.34     0.0044   8.312E+00   0.7105   0.3000   1.646E-17   4.21320775E+01   6.01951641E+01
     195       3106.65     0.0046   7.680E+00   0.6680   0.3000   1.466E-17   4.21391263E+01   6.01820278E+01
     196       3114.33     0.0044   7.229E+00   0.6171   0.3000   2.475E-17   4.21456333E+01   6.01699624E+01
     197       3121.56     0.0044   7.493E+00   0.6614   0.3000   1.530E-17   4.21517524E+01   6.01586373E+01
     198       3129.05     0.0044   7.700E+00   0.6970   0.3000   1.823E-17   4.21580903E+01   6.01469678E+01
     199       3136.75     0.0044   6.905E+00   0.6181   0.3000   1.724E-17   4.21645977E+01   6.01351171E+01
     200       3143.66     0.0045   6.906E+00   0.6208   0.3000   1.677E-17   4.21704290E+01   6.01246274E+01
     201       3150.56     0.0044   7.054E+00   0.6575   0.3000   1.512E-17   4.21762571E+01   6.01141523E+01
     202       3157.62     0.0045   6.922E+00   0.6462   0.3000   1.643E-17   4.21822058E+01   6.01035458E+01
     203       3164.54     0.0044   6.564E+00   0.5946   0.3000   1.981E-17   4.21880393E+01   6.00933287E+01
     204        3171.1     0.0046   6.830E+00   0.6465   0.3000   4.065E-17   4.21935675E+01   6.00838215E+01
     205       3177.93     0.0045   7.206E+00   0.6938   0.3000   1.672E-17   4.21993160E+01   6.00740939E+01
     206       3185.14     0.0047   6.660E+00   0.6289   0.3000   1.879E-17   4.22053762E+01   6.00640094E+01
     207        3191.8     0.0044   6.561E+00   0.6230   0.3000   1.582E-17   4.22109728E+01   6.00548690E+01
     208       3198.36     0.0046   7.139E+00   0.6989   0.3000   2.314E-17   4.22164825E+01   6.00460034E+01
     209        3205.5     0.0045   7.279E+00   0.7080   0.3000   2.371E-17   4.22224735E+01   6.00364852E+01
     210       3212.78     0.0046   6.716E+00   0.6364   0.3000   1.756E-17   4.22285781E+01   6.00269272E+01
     211       3219.49     0.0045   7.016E+00   0.6915   0.3000   1.918E-17   4.22342069E+01   6.00181332E+01
     212       3226.51     0.0044   8.152E+00   0.8033   0.3000   2.134E-17   4.22400834E+01   6.00089506E+01
     213       3234.66     0.0046   7.137E+00   0.6819   0.3000   1.274E-17   4.22469064E+01   5.99983884E+01
     214        3241.8     0.0044   7.356E+00   0.7285   0.3000   1.669E-17   4.22528751E+01   5.99893467E+01
     215       3249.16     0.0071   8.010E+00   0.7862   0.3000   2.123E-17   4.22590233E+01   5.99802070E+01
     216       3257.16     0.0045   7.555E+00   0.7351   0.3000   1.629E-17   4.22657127E+01   5.99703522E+01
     217       3264.72     0.0047   7.654E+00   0.7590   0.3000   1.376E-17   4.22720178E+01   5.99610808E+01
     218       3272.37     0.0044   7.752E+00   0.7576   0.3000   1.682E-17   4.22784013E+01   5.99517521E+01
     219       3280.13     0.0046   8.002E+00   0.7904   0.3000   1.975E-17   4.22848619E+01   5.99423919E+01
     220       3288.13     0.0044   7.899E+00   0.7827   0.3000   1.164E-17   4.22915259E+01   5.99327964E+01
     221       3296.03     0.0045   3.973E+00   0.3857   0.1576   1.726E-17   4.22980998E+01   5.99233814E+01
     222          3300     0.0044   7.357E+00   0.7245   0.3000   1.475E-17   4.23014049E+01   5.99186536E+01
     223       3307.36     2.6526   7.145E+00   0.7028   0.3000   1.945E-17   4.23075218E+01   5.99098657E+01
     224        3314.5     0.0049   7.120E+00   0.6865   0.3000   2.944E-17   4.23134588E+01   5.99013315E+01
